,Planet Name,Host Star of Planet,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period in Days,Orbit Semi-Major Axis,Mass,Eccentricity,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
0,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,6165.6,0.231,G8 III,4742.0,19.0,2.7,-0.35,[Fe/H],2.31,93.1846,4.44038
2,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,1525.5,0.0,K0 III,4813.0,11.0,2.2,-0.24,[Fe/H],2.63,75.4392,4.91781
5,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,1373.01872,0.06,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],1.7,124.953,4.75429
6,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,3273.5,0.08,G6 III,4979.0,8.5,2.3,-0.052,[Fe/H],2.82,76.222,5.27476
8,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,289.2253,0.042,G3 IV,4893.0,10.64,0.99,-0.77,[Fe/H],2.42,95.9863,5.3339
20,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,0.87,2256.5,0.432,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],1.8,73.4603,4.23773
21,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1.19,1233.13,0.38,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],1.71,90.6545,4.43216
33,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,5.1,0.12,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.54052
34,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,18.2,0.14,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.54052
35,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.476,22.9,0.35,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],4.34,8.50332,4.54052
