Planet Name,Num Stars,Num Planets,Orbital Period Days
COCONUTS-2 b,1,1,402000000.0
CFHTWIR-Oph 98 b,1,1,8040000.0
Oph 11 b,1,1,7300000.0
HR 8799 b,1,4,170000.0
HR 8799 c,1,4,69000.0
HD 66428 c,1,2,39000.0
HR 8799 d,1,4,37000.0
HD 26161 b,1,1,32000.0
HR 5183 b,2,1,27000.0
HD 145675 c,1,2,25000.0
HIP 70849 b,2,1,17337.5
HD 213472 b,1,1,17000.0
eps Ind A b,3,1,16510.0
HD 68988 c,1,2,16000.0
47 UMa d,1,3,14002.0
HD 30177 c,1,2,11613.0
HD 92788 c,1,2,11611.2975
HD 92987 b,1,1,10354.8375
DP Leo b,2,1,10220.0
PSR B0329+54 b,1,1,10140.0
HD 221420 b,1,1,10090.0
CFBDSIR J145829+101343 b,1,1,10037.5
HIP 5158 c,1,2,9017.76
NY Vir c,2,2,8799.0
HD 50499 c,1,2,8619.9
HD 75784 c,1,2,7900.0
bet Pic b,1,2,7665.0
GJ 15 A c,2,2,7600.0
HD 181234 b,1,1,7462.0575
GJ 676 A c,2,4,7337.0
2MASS J21402931+1625183 A b,1,1,7336.5
GJ 849 c,1,2,7068.0
GJ 317 c,1,2,6739.323
HD 4203 c,1,2,6700.0
HD 98649 b,1,1,6022.9725
HD 25015 b,1,1,6019.32
HD 142 c,2,2,6005.0
HD 150706 b,1,1,5894.0
UZ For b,2,2,5840.0
HD 133131 B b,2,3,5769.0
HD 34445 g,1,6,5700.0
HAT-P-17 c,1,2,5584.0
55 Cnc d,2,5,5574.2
NN Ser c,2,2,5573.55
HD 219077 b,1,1,5501.0
OGLE-2018-BLG-0740L b,1,1,5480.0
HD 65216 c,3,2,5370.0
HD 27894 d,1,3,5174.0
HD 166724 b,1,1,5144.0
GJ 433 c,1,3,5094.105
HD 148164 c,1,2,5062.0
HD 141399 e,1,4,5000.0
HD 134987 c,1,2,5000.0
OGLE-2006-BLG-109L c,1,2,4927.5
HD 190984 b,1,1,4885.0
Pr0211 c,2,2,4850.0
HD 219828 c,1,2,4682.0
HW Vir b,3,1,4640.0
HD 136925 b,1,1,4540.0
HD 95872 b,1,1,4375.0
HU Aqr AB c,2,2,4368.0
RR Cae b,2,1,4343.5
WASP-8 c,2,2,4323.0
HD 114783 c,1,2,4319.0
HD 217107 c,1,2,4270.0
HD 13931 b,1,1,4218.0
HD 160691 c,1,4,4205.8
