Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
BD+20 2457 b,BD+20 2457,2,379.63,,1539.71,17668.1697
HR 2562 b,HR 2562,1,,1200.0,34.0071,9534.9
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,246.36,,,9057.77
KELT-1 b,KELT-1,1,1.217514,,268.43,8654.15
HD 81817 b,HD 81817,1,1047.1,,269.126,8613.193
HD 66428 c,HD 66428,2,39000.0,,53.2817,8581.36699
BD-00 4475 b,BD-00 4475,1,723.2,,42.6402,7961.6016
nu Oph c,nu Oph,2,3184.83,,46.2107,7838.32346
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,,,33.8281,7786.5
MXB 1658-298 b,MXB 1658-298,1,760.0,,,7532.571
HIP 78530 b,HIP 78530,1,,2700.0,136.759,7300.0
HD 221420 b,HD 221420,1,10090.0,,31.1415,7278.27052
nu Oph b,nu Oph,2,530.21,,46.2107,7057.73298
HD 125390 b,HD 125390,1,1756.2,,153.647,7043.1128
Kepler-448 c,KOI-12,2,2500.0,,399.398,6992.26
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,1,,450.0,,6992.0
HN Peg b,HN Peg,1,,,18.1186,6991.57
CoRoT-3 b,CoRoT-3,1,4.2568,,768.771,6883.91
HD 217850 b,HD 217850,1,3501.3,,65.7969,6865.128
HD 96127 b,HD 96127,1,647.29999,,587.659,6661.7168
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,7336.5,2075.0,,6657.48
tau Gem b,tau Gem,1,305.5,,112.537,6547.0
HIP 79098 AB b,HIP 79098 AB,1,,2450.0,145.798,6515.515
HD 214823 b,HD 214823,1,1854.4,,101.368,6451.949
HD 180314 b,HD 180314,1,396.03,,122.362,6397.9179
Kepler-39 b,Kepler-39,1,21.08721,897.0,1057.41,6388.1
HIP 97233 b,HIP 97233,1,1058.8,,102.275,6356.3
GQ Lup b,GQ Lup,1,,2650.0,151.169,6356.0
GPX-1 b,GPX-1,1,1.744579,2300.0,655.013,6261.21962
11 Com b,11 Com,1,326.03,,93.1846,6165.6
HD 131664 b,HD 131664,1,1951.0,,52.8128,6076.9096
TOI-1278 b,TOI-1278,1,14.47567,,75.5759,5879.82553
HD 41004 B b,HD 41004 B,2,1.3283,,41.5504,5838.29
KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,1,,,6300.0,5700.0
HD 202206 c,HD 202206,1,1260.0,,45.9665,5689.157
HD 168443 c,HD 168443,2,1749.83,,39.6245,5464.221
CoRoT-20 c,CoRoT-20,2,1675.0,,844.061,5403.11
CT Cha b,CT Cha,1,,2600.0,190.72,5403.0
HD 92987 b,HD 92987,1,10354.8375,,43.5339,5364.9704
HD 220074 b,HD 220074,1,672.09998,,324.54,5288.6912
WASP-53 c,WASP-53,2,2840.0,,201.338,5196.5205
USco1621 b,USco1621 A,1,,2270.0,137.901,5085.28
FU Tau b,FU Tau,1,,2375.0,,5085.28
ROXs 12 b,ROXs 12,1,,,136.65,5085.0
HD 240237 b,HD 240237,1,745.70001,,933.377,5050.3187
GSC 06214-00210 b,GSC 06214-00210,1,,2300.0,108.5,5000.0
KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,1,,,7010.0,4923.0
HIP 5158 c,HIP 5158,2,9017.76,,51.6026,4780.1632
USco1556 b,USco1556 A,1,,2240.0,140.635,4767.45
HD 68988 c,HD 68988,2,16000.0,,60.8447,4767.4261
11 UMi b,11 UMi,1,516.21997,,125.321,4684.8142
HD 219828 c,HD 219828,2,4682.0,,73.114,4640.318
HW Vir b,HW Vir,1,4640.0,,171.701,4602.90201
HAT-P-13 c,HAT-P-13,2,446.27,,246.81,4538.421
OGLE-2019-BLG-0954L b,OGLE-2019-BLG-0954L,1,,,3630.0,4513.16338
HD 8673 b,HD 8673,1,1634.0,,37.8619,4513.0
NSVS 14256825 b,NSVS 14256825,1,3225.0,,820.877,4497.2945
USco CTIO 108 b,USco CTIO 108,1,,,144.019,4449.62
Oph 11 b,Oph 11,1,7300000.0,2175.0,,4449.62
HD 158996 b,HD 158996,1,820.2,,283.659,4449.62
TYC 8998-760-1 b,TYC 8998-760-1,2,,,94.6177,4449.62
TOI-519 b,TOI-519,1,1.2652328,760.0,115.557,4449.62
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,,,,4417.837
HD 4760 b,HD 4760,1,434.0,,537.873,4417.837
30 Ari B b,30 Ari B,1,335.10001,,44.657,4392.4106
WD 1856+534 b,WD 1856+534,1,1.4079405,163.0,24.7359,4386.054
Kepler-27 c,Kepler-27,2,31.3309,,1044.36,4385.87
HD 22781 b,HD 22781,1,528.07,,32.6034,4338.2
kap And b,kap And,1,,1900.0,50.0177,4327.36
HD 26161 b,HD 26161,1,32000.0,,40.9128,4290.68349
AB Pic b,AB Pic,1,,,50.0475,4290.5
OGLE-2016-BLG-1190L b,OGLE-2016-BLG-1190L,1,1224.0,,6770.0,4253.0
EPIC 248847494 b,EPIC 248847494,1,3650.0,183.0,551.886,4131.79
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,,,,4131.79
SR 12 AB c,SR 12 AB,1,,,,4131.62
HD 217786 b,HD 217786,1,1319.0,,55.4847,4131.62
HD 38529 c,HD 38529,2,2136.1,,42.3538,4128.6117
HATS-70 b,HATS-70,1,1.8882378,2730.0,1458.83,4100.007
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,1,,,3040.0,4100.0
HD 24064 b,HD 24064,1,535.59998,,300.247,4096.8287
HATS-59 c,HATS-59,2,1422.0,176.0,642.884,4036.441
Kepler-407 c,Kepler-407,2,3000.0,,338.368,4000.0
CHXR 73 b,CHXR 73,1,,,190.374,3994.486
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,,,69.5737,3972.875
BD+20 2457 c,BD+20 2457,2,621.99,,1539.71,3963.17
HD 87646 b,HD 87646,1,13.481,,73.58352,3941.092
DE CVn b,DE CVn,1,4098.1,,30.5225,3823.2733
KIC 7917485 b,KIC 7917485,1,840.0,,1382.89,3750.394
MOA-2011-BLG-322L b,MOA-2011-BLG-322L,1,,,7560.0,3690.0
CI Tau b,CI Tau,1,8.9891,,157.998,3686.828
GU Psc b,GU Psc,1,,1050.0,47.5501,3591.3
OGLE-2017-BLG-1375L b,OGLE-2017-BLG-1375L,1,,,3930.0,3585.0
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,1,,,,3559.696
