Planet Name,Num Stars
PH1 b,4
30 Ari B b,4
HD 207832 c,3
HD 65216 c,3
GJ 667 C c,3
GJ 667 C b,3
HD 178911 B b,3
HD 207832 b,3
LTT 1445 A b,3
HAT-P-8 b,3
eps Ind A b,3
91 Aqr b,3
HD 43691 b,3
HAT-P-57 b,3
K2-290 c,3
WD 1856+534 b,3
WASP-11 b,3
GJ 667 C e,3
HD 87646 b,3
GJ 667 C f,3
HD 19994 b,3
HD 142245 b,3
HD 65216 b,3
Kepler-444 b,3
HD 196050 b,3
Kepler-444 c,3
WASP-12 b,3
Kepler-444 d,3
GJ 667 C g,3
Kepler-444 e,3
Kepler-444 f,3
HD 185269 b,3
HD 4113 b,3
K2-290 b,3
K2-27 b,3
HAT-P-35 b,3
WASP-3 b,3
HAT-P-16 b,3
psi 1 Dra B b,3
HD 126614 b,3
KOI-13 b,3
WASP-14 b,3
HD 2638 b,3
HD 132563 b,3
HD 26965 b,3
HW Vir b,3
16 Cyg B b,3
51 Eri b,3
Kepler-908 b,3
KELT-4 A b,3
TOI-942 c,3
WASP-24 b,3
TOI-942 b,3
HD 40979 b,3
Proxima Cen b,3
TOI-1201 b,2
HIP 70849 b,2
TOI-1634 b,2
HR 858 d,2
HR 5183 b,2
HR 858 c,2
HR 858 b,2
HD 101930 b,2
HD 103774 b,2
TOI-1338 b,2
HD 102956 b,2
HD 102365 b,2
HD 100655 b,2
HIP 79098 AB b,2
TOI-1333 b,2
TOI-1259 A b,2
HIP 8541 b,2
KOI-94 b,2
Ross 458 c,2
TIC 172900988 b,2
Kepler-743 b,2
Kepler-755 c,2
Kepler-755 b,2
HD 116029 c,2
HD 116029 b,2
HD 114762 b,2
HD 114729 b,2
PSR B1620-26 b,2
HD 113996 b,2
Kepler-390 b,2
Pr0211 b,2
Pr0211 c,2
Kepler-390 c,2
HD 110082 b,2
HD 109749 b,2
Qatar-6 b,2
HD 106515 A b,2
HIP 65 A b,2
ROXs 12 b,2
ROXs 42 B b,2
HD 108341 b,2
RR Cae b,2
KOI-94 e,2
HU Aqr AB b,2
SR 12 AB c,2
KOI-94 d,2
Kepler-136 b,2
HD 107148 c,2
HD 107148 b,2
Kepler-136 c,2
KOI-94 c,2
HATS-65 b,2
11 Com b,2
HU Aqr AB c,2
KOI-1257 b,2
K2-136 c,2
K2-136 d,2
HAT-P-67 b,2
Kepler-197 e,2
Kepler-197 d,2
Kepler-197 c,2
Kepler-197 b,2
KELT-9 b,2
Kepler-68 d,2
Kepler-68 c,2
Kepler-68 b,2
KELT-3 b,2
K2-148 b,2
K2-148 c,2
K2-148 d,2
HAT-P-41 b,2
KELT-23 A b,2
HAT-P-4 b,2
HAT-P-39 b,2
K2-151 b,2
KELT-2 A b,2
HAT-P-33 b,2
HAT-P-32 b,2
KELT-19 A b,2
HAT-P-30 b,2
HAT-P-3 b,2
HAT-P-29 b,2
HAT-P-7 b,2
K2-136 b,2
KIC 5095269 b,2
HATS-30 b,2
HATS-58 A b,2
Kepler-21 b,2
HATS-48 A b,2
Kepler-14 b,2
Kepler-410 A b,2
Kepler-411 b,2
Kepler-411 c,2
Kepler-411 d,2
HATS-37 A b,2
K2-122 b,2
Kepler-411 e,2
Kepler-413 b,2
Kepler-693 b,2
Kepler-20 b,2
HD 11964 b,2
TOI-421 b,2
TOI-421 c,2
TOI-451 b,2
TOI-451 c,2
TOI-451 d,2
KIC 5951458 b,2
Kepler-20 g,2
Kepler-20 f,2
Kepler-20 e,2
Kepler-20 d,2
Kepler-20 c,2
Kepler-1341 b,2
HD 133131 A b,2
HD 11964 c,2
HD 196067 b,2
HD 190360 b,2
HD 190360 c,2
Kepler-1086 b,2
Kepler-1086 c,2
Kepler-99 b,2
HD 195019 b,2
HD 196885 A b,2
Kepler-1008 b,2
HD 197037 b,2
HD 202206 c,2
HD 202772 A b,2
HD 204941 b,2
HD 4732 c,2
HD 4732 b,2
HD 189733 b,2
HD 59686 A b,2
HD 188015 b,2
Kepler-83 d,2
Kepler-83 c,2
Kepler-83 b,2
Kepler-108 c,2
Kepler-108 b,2
Kepler-35 b,2
HD 180902 b,2
HD 180617 b,2
LTT 3780 b,2
LTT 3780 c,2
HD 177830 c,2
HD 177830 b,2
MASCARA-4 b,2
Kepler-353 b,2
Kepler-34 b,2
HD 20781 b,2
HD 20781 c,2
Kepler-296 f,2
Kepler-1150 b,2
HD 27442 b,2
HD 25171 b,2
HD 30856 b,2
HD 23596 b,2
HD 233832 b,2
Kepler-1130 b,2
HD 33283 b,2
HD 222582 b,2
HD 220842 b,2
HD 38529 b,2
HD 38529 c,2
HD 217786 b,2
Kepler-951 b,2
Kepler-296 e,2
HD 20781 d,2
Kepler-296 d,2
Kepler-296 c,2
Kepler-296 b,2
