Discovery Facility,Discovery Year,Planet Name
OGLE,2021,OGLE-2019-BLG-0954L b
K2,2021,EPIC 206024342 d
Kepler,2021,KOI-3503 b
K2,2021,EPIC 206042996 c
Multiple Observatories,2021,HD 4760 b
Haute-Provence Observatory,2021,HD 27969 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-178 c
Multiple Observatories,2021,HIP 90988 b
Kepler,2021,KOI-3503 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-178 b
La Silla Observatory,2021,HD 39194 c
Transiting Exoplanet Survey Satellite (TESS),2021,HD 152843 b
La Silla Observatory,2021,HD 96700 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1749 d
K2,2021,EPIC 212624936 b
K2,2021,EPIC 212624936 c
Transiting Exoplanet Survey Satellite (TESS),2021,HD 152843 c
La Silla Observatory,2021,HD 39194 b
K2,2021,EPIC 220492298 b
Haute-Provence Observatory,2021,HD 124330 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1749 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1749 b
K2,2021,EPIC 228836835 b
La Silla Observatory,2021,HD 96700 b
La Silla Observatory,2021,HD 189567 c
Multiple Observatories,2021,HD 145675 c
K2,2021,EPIC 206024342 c
La Silla Observatory,2021,HD 154088 b
Kepler,2021,KOI-1833 d
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-178 g
Transiting Exoplanet Survey Satellite (TESS),2021,HIP 97166 b
Multiple Observatories,2021,HIP 56640 b
Multiple Observatories,2021,TOI-178 f
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-178 e
K2,2021,K2-356 b
K2,2021,K2-355 b
Multiple Observatories,2021,HD 141004 b
Multiple Observatories,2021,HD 24040 c
Multiple Observatories,2021,HD 96992 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-178 d
K2,2021,K2-353 b
K2,2021,K2-352 b
K2,2021,K2-350 b
K2,2021,EPIC 201427007 b
La Silla Observatory,2021,HD 39194 d
K2,2021,EPIC 201595106 b
Haute-Provence Observatory,2021,HD 80869 b
Multiple Observatories,2021,GJ 740 b
Roque de los Muchachos Observatory,2021,GJ 720 A b
Multiple Observatories,2021,HD 26161 b
La Silla Observatory,2021,HD 96700 d
Kepler,2021,KOI-1831 d
Multiple Observatories,2021,HD 3765 b
K2,2021,K2-331 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1807 b
Paranal Observatory,2021,NGTS-15 b
Paranal Observatory,2021,NGTS-16 b
Paranal Observatory,2021,NGTS-17 b
La Silla Observatory,2021,HD 93385 b
La Silla Observatory,2021,HD 93385 c
La Silla Observatory,2021,HD 93385 d
Paranal Observatory,2021,NGTS-18 b
HATNet,2021,HAT-P-60 b
Calar Alto Observatory,2021,GJ 486 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1333 b
HATNet,2021,HAT-P-61 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1298 b
HATNet,2021,HAT-P-62 b
HATNet,2021,HAT-P-63 b
Multiple Observatories,2021,HD 156668 c
HATNet,2021,HAT-P-64 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1296 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1259 A b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1278 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1260 b
W. M. Keck Observatory,2021,GJ 414 A c
Haute-Provence Observatory,2021,HD 331093 b
W. M. Keck Observatory,2021,GJ 414 A b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1260 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1431 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1444 b
Calar Alto Observatory,2021,G 264-012 b
Paranal Observatory,2021,NGTS-14 A b
Calar Alto Observatory,2021,G 264-012 c
La Silla Observatory,2021,HD 189567 b
Transiting Exoplanet Survey Satellite (TESS),2021,TIC 172900988 b
Haute-Provence Observatory,2021,HD 155193 b
Transiting Exoplanet Survey Satellite (TESS),2021,TIC 257060897 b
Multiple Observatories,2021,HIP 75092 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1062 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1062 c
Multiple Observatories,2021,GJ 1151 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1685 b
Multiple Observatories,2021,HD 95735 c
Transiting Exoplanet Survey Satellite (TESS),2021,HD 183579 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1634 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1201 b
Haute-Provence Observatory,2021,HD 95544 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1601 b
HATNet,2021,HAT-P-58 b
Multiple Observatories,2021,TOI-1518 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1231 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1478 b
W. M. Keck Observatory,2021,TOI-1444 c
HATNet,2021,HAT-P-59 b
Paranal Observatory,2021,NGTS-13 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-1789 b
K2,2021,K2-357 b
Multiple Observatories,2021,HD 107148 c
CHaracterising ExOPlanets Satellite (CHEOPS),2021,HD 108236 f
Multiple Observatories,2021,HD 68988 c
La Silla Observatory,2021,HD 110113 c
Transiting Exoplanet Survey Satellite (TESS),2021,HD 110113 b
Transiting Exoplanet Survey Satellite (TESS),2021,HD 110082 b
KMTNet,2021,KMT-2018-BLG-1976L b
Haute-Provence Observatory,2021,HD 109286 b
KMTNet,2021,KMT-2018-BLG-1996L b
KMTNet,2021,KMT-2019-BLG-0371L b
Paranal Observatory,2021,YSES 2 b
Acton Sky Portal Observatory,2021,GPX-1 b
Haute-Provence Observatory,2021,BD-00 4475 b
Multiple Observatories,2021,HD 168009 b
Transiting Exoplanet Survey Satellite (TESS),2021,AU Mic c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-674 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-640 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-628 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-201 b
KMTNet,2021,KMT-2019-BLG-1715L b
Haute-Provence Observatory,2021,BD+45 564 b
Haute-Provence Observatory,2021,BD+55 362 b
Paranal Observatory,2021,HD 22496 b
OGLE,2021,OGLE-2018-BLG-0567L b
KMTNet,2021,KMT-2018-BLG-1743L b
Haute-Provence Observatory,2021,HD 211403 b
W. M. Keck Observatory,2021,Kepler-129 d
OGLE,2021,OGLE-2019-BLG-0304L b
OGLE,2021,OGLE-2018-BLG-1428L b
Transiting Exoplanet Survey Satellite (TESS),2021,HD 63935 b
Multiple Observatories,2021,HD 63935 c
Kepler,2021,KIC 8121913 b
Haute-Provence Observatory,2021,HD 115954 b
KMTNet,2021,KMT-2016-BLG-2605L b
Multiple Observatories,2021,HD 164922 e
K2,2021,K2-138 g
Multiple Observatories,2021,TYC 0434-04538-1 b
Kepler,2021,KIC 5479689 b
OGLE,2021,OGLE-2018-BLG-1185L b
Multiple Observatories,2021,HD 66428 c
Multiple Observatories,2021,HIP 114933 b
KMTNet,2021,KMT-2018-BLG-1025L b
Multiple Observatories,2021,HD 213472 b
Kepler,2021,KIC 10068024 b
OGLE,2021,OGLE-2018-BLG-0962L b
Haute-Provence Observatory,2021,BD+63 1405 b
Multiple Observatories,2021,GJ 393 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-559 b
Transiting Exoplanet Survey Satellite (TESS),2021,HD 5278 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-431 d
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-431 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-431 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-558 b
La Silla Observatory,2021,HD 13808 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-3362 b
Transiting Exoplanet Survey Satellite (TESS),2021,HD 207897 b
La Silla Observatory,2021,HD 13808 c
K2,2021,K2-358 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-269 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-257 b
Multiple Observatories,2021,HIP 97166 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-251 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-2406 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-2285 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-2257 b
Multiple Observatories,2021,TOI-2202 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-2202 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-220 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-2076 d
Paranal Observatory,2021,WASP-110 b
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-2076 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-2076 b
K2,2021,HD 137496 b
Multiple Observatories,2021,HD 137496 c
Transiting Exoplanet Survey Satellite (TESS),2021,TOI-532 b
Transiting Exoplanet Survey Satellite (TESS),2021,LHS 1678 b
NASA Infrared Telescope Facility (IRTF),2021,COCONUTS-2 b
